     Time-steps        Time         ICFL Max      VCFL Max        Rc Min        
           364  0.000108              0.039232       0.792888       0.000009      **********
           365  0.000108              0.039340       0.793907       0.000009      **********
           366  0.000108              0.039448       0.794710       0.000009      **********
           367  0.000108              0.039555       0.795303       0.000009      **********
           368  0.000108              0.039663       0.795691       0.000009      **********
           369  0.000108              0.039771       0.795883       0.000009      **********
           370  0.000108              0.039879       0.795888       0.000009      **********
           371  0.000108              0.039987       0.795716       0.000009      **********
           372  0.000108              0.040094       0.795376       0.000009      **********
           373  0.000108              0.040202       0.794881       0.000009      **********
           374  0.000108              0.040310       0.794242       0.000009      **********
           375  0.000108              0.040418       0.794440       0.000009      **********
           376  0.000108              0.040526       0.795382       0.000009      **********
           377  0.000108              0.040633       0.796118       0.000009      **********
           378  0.000108              0.040741       0.796653       0.000009      **********
           379  0.000108              0.040849       0.796996       0.000009      **********
           380  0.000108              0.040957       0.797153       0.000009      **********
           381  0.000108              0.041064       0.797134       0.000009      **********
           382  0.000108              0.041172       0.796949       0.000009      **********
           383  0.000108              0.041280       0.796607       0.000009      **********
           384  0.000108              0.041388       0.796119       0.000009      **********
           385  0.000108              0.041496       0.795497       0.000009      **********
           386  0.000108              0.041603       0.795687       0.000009      **********
           387  0.000108              0.041711       0.796561       0.000009      **********
           388  0.000108              0.041819       0.797239       0.000009      **********
           389  0.000108              0.041927       0.797727       0.000009      **********
           390  0.000108              0.042034       0.798033       0.000009      **********
           391  0.000108              0.042142       0.798163       0.000009      **********
           392  0.000108              0.042250       0.798128       0.000009      **********
           393  0.000108              0.042358       0.797936       0.000009      **********
           394  0.000108              0.042466       0.797597       0.000009      **********
           395  0.000108              0.042573       0.797121       0.000009      **********
           396  0.000108              0.042681       0.796518       0.000009      **********
           397  0.000108              0.042789       0.796659       0.000009      **********
           398  0.000108              0.042897       0.797473       0.000009      **********
           399  0.000108              0.043004       0.798101       0.000009      **********
           400  0.000108              0.043112       0.798549       0.000009      **********
           401  0.000108              0.043220       0.798823       0.000009      **********
           402  0.000108              0.043328       0.798932       0.000009      **********
           403  0.000108              0.043436       0.798883       0.000009      **********
           404  0.000108              0.043543       0.798687       0.000009      **********
           405  0.000108              0.043651       0.798351       0.000009      **********
           406  0.000108              0.043759       0.797887       0.000009      **********
           407  0.000108              0.043867       0.797303       0.000009      **********
           408  0.000108              0.043975       0.797384       0.000009      **********
           409  0.000108              0.044082       0.798144       0.000009      **********
           410  0.000108              0.044190       0.798727       0.000009      **********
           411  0.000108              0.044298       0.799137       0.000009      **********
           412  0.000108              0.044406       0.799382       0.000009      **********
           413  0.000108              0.044513       0.799470       0.000009      **********
           414  0.000108              0.044621       0.799408       0.000009      **********
           415  0.000108              0.044729       0.799205       0.000009      **********
           416  0.000108              0.044837       0.798870       0.000009      **********
           417  0.000108              0.044945       0.798414       0.000009      **********
           418  0.000108              0.045052       0.797845       0.000009      **********
           419  0.000108              0.045160       0.797880       0.000009      **********
           420  0.000108              0.045268       0.798590       0.000009      **********
